scenario,window_index,start_time_sec,end_time_sec,state,label,audio_rms,audio_peak,audio_crest_factor,audio_kurtosis,audio_hilbert_env_mean,audio_hilbert_env_std,audio_hilbert_env_peak,audio_hilbert_env_crest,audio_hilbert_env_kurtosis,audio_shockwave_energy_ratio,audio_shockwave_pulse_count,audio_stft_2k8_db,audio_stft_harmonic_db,audio_spectral_centroid
abnormal_high_speed_20kph,227,162.1416,162.854,abnormal,1,0.043942,0.190283,4.3303,-0.2438,0.055647,0.027663,0.192949,3.4673,-0.1095,0.1795,92,-58.59,-64.53,3646.1
abnormal_high_speed_20kph,228,162.8574,163.5675,abnormal,1,0.044491,0.167246,3.7591,-0.2621,0.056265,0.028164,0.169733,3.0167,-0.2542,0.1791,81,-58.96,-64.76,3646.0
abnormal_high_speed_20kph,229,163.5689,164.2816,abnormal,1,0.044693,0.164164,3.6731,-0.2736,0.056479,0.028374,0.176049,3.1171,-0.297,0.1773,86,-58.69,-64.65,3610.5
abnormal_high_speed_20kph,230,164.284,164.9976,abnormal,1,0.047648,0.197566,4.1464,-0.241,0.060295,0.030086,0.198026,3.2843,-0.2533,0.1779,87,-59.17,-64.62,3559.9
abnormal_high_speed_20kph,231,164.9989,165.7089,abnormal,1,0.046363,0.168451,3.6333,-0.251,0.058675,0.029264,0.176508,3.0083,-0.2452,0.1785,82,-58.5,-64.59,3581.7
abnormal_high_speed_20kph,232,165.7139,166.4238,abnormal,1,0.047118,0.157624,3.3453,-0.2675,0.05968,0.02964,0.172493,2.8903,-0.3056,0.1788,81,-57.36,-64.64,3565.8
abnormal_high_speed_20kph,233,166.4274,167.1389,abnormal,1,0.046405,0.159893,3.4456,-0.3035,0.059023,0.028692,0.166417,2.8195,-0.3457,0.1733,86,-58.79,-64.73,3529.4
abnormal_high_speed_20kph,234,167.1417,167.8537,abnormal,1,0.045209,0.181193,4.0079,-0.2588,0.057461,0.028035,0.194232,3.3803,0.1045,0.1832,82,-57.34,-64.33,3635.7
abnormal_high_speed_20kph,235,167.8574,168.5675,abnormal,1,0.046989,0.181501,3.8626,-0.2437,0.05957,0.029452,0.18506,3.1066,-0.1149,0.1817,85,-58.21,-64.73,3569.6
abnormal_high_speed_20kph,236,168.5689,169.2818,abnormal,1,0.04486,0.178656,3.9825,-0.2279,0.056739,0.028382,0.179243,3.1591,-0.1775,0.1819,91,-58.13,-64.6,3604.6
